"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45058","test_add_review_product","selenium_tests.pytest_pages","Sun Aug 17 19:01:18 IST 2025","passed","Sun Aug 17 19:02:03 IST 2025","","test_add_review_product","",""
"","3731","test_remove_products_cart","selenium_tests.pytest_pages","Sun Aug 17 19:03:22 IST 2025","broken","Sun Aug 17 19:03:25 IST 2025","","test_remove_products_cart","",""
"","10071","test_search_products_cart_after_login","selenium_tests.pytest_pages","Sun Aug 17 19:05:36 IST 2025","broken","Sun Aug 17 19:05:47 IST 2025","","test_search_products_cart_after_login","",""
"","10021","test_view_brand_products","selenium_tests.pytest_pages","Sun Aug 17 19:07:45 IST 2025","broken","Sun Aug 17 19:07:55 IST 2025","","test_view_brand_products","",""
"","14012","test_place_order_register_before_checkout","selenium_tests.pytest_pages","Sun Aug 17 19:02:26 IST 2025","passed","Sun Aug 17 19:02:40 IST 2025","","test_place_order_register_before_checkout","",""
"","10510","test_place_order_register_checkout","selenium_tests.pytest_pages","Sun Aug 17 19:02:50 IST 2025","passed","Sun Aug 17 19:03:00 IST 2025","","test_place_order_register_checkout","",""
"","2184","test_contact_us","selenium_tests.pytest_pages","Sun Aug 17 19:07:01 IST 2025","passed","Sun Aug 17 19:07:03 IST 2025","","test_user_mcontact_us","",""
"","13238","test_verify_cart_quantity","selenium_tests.pytest_pages","Sun Aug 17 19:07:25 IST 2025","broken","Sun Aug 17 19:07:39 IST 2025","","test_verify_cart_quantity","",""
"","10030","test_view_category_products","selenium_tests.pytest_pages","Sun Aug 17 19:08:02 IST 2025","broken","Sun Aug 17 19:08:12 IST 2025","","test_view_category_products","",""
"","2","test_data","selenium_tests","Sun Aug 17 19:08:15 IST 2025","passed","Sun Aug 17 19:08:15 IST 2025","","test_data","",""
"","4","test_subscription_cart_page","selenium_tests.pytest_pages","Sun Aug 17 19:06:12 IST 2025","failed","Sun Aug 17 19:06:12 IST 2025","","test_subscription_cart_page","",""
"","13753","test_add_products_cart","selenium_tests.pytest_pages","Sun Aug 17 19:00:58 IST 2025","passed","Sun Aug 17 19:01:11 IST 2025","","test_add_products_cart","",""
"","2633","test_user_login","selenium_tests.pytest_pages","Sun Aug 17 19:06:44 IST 2025","passed","Sun Aug 17 19:06:47 IST 2025","","test_user_login_valid","",""
"","4020","test_user_registration","selenium_tests.pytest_pages","Sun Aug 17 19:07:15 IST 2025","passed","Sun Aug 17 19:07:19 IST 2025","","test_user_register_valid","",""
"","7542","test_place_order_login_before_checkout","selenium_tests.pytest_pages","Sun Aug 17 19:02:11 IST 2025","passed","Sun Aug 17 19:02:18 IST 2025","","test_place_order_login_before_checkout","",""
"","1068","test_user_registration","selenium_tests.pytest_pages","Sun Aug 17 19:07:09 IST 2025","passed","Sun Aug 17 19:07:10 IST 2025","","test_user_register_invalid","",""
"","95090","test_search_products_page","selenium_tests.pytest_pages","Sun Aug 17 19:03:36 IST 2025","passed","Sun Aug 17 19:05:12 IST 2025","","test_search_product","",""
"","1","test_login_data","selenium_tests","Sun Aug 17 19:08:15 IST 2025","passed","Sun Aug 17 19:08:15 IST 2025","","test_data","",""
"","2707","test_logout","selenium_tests.pytest_pages","Sun Aug 17 19:06:52 IST 2025","passed","Sun Aug 17 19:06:55 IST 2025","","test_user_logout","",""
"","680","test_subscription_home_page","selenium_tests.pytest_pages","Sun Aug 17 19:06:18 IST 2025","passed","Sun Aug 17 19:06:19 IST 2025","","test_subscription_home_page","",""
"","6519","test_page_test_case","selenium_tests.pytest_pages","Sun Aug 17 19:06:24 IST 2025","passed","Sun Aug 17 19:06:31 IST 2025","","test_testcases","",""
"","6303","test_product_page","selenium_tests.pytest_pages","Sun Aug 17 19:03:08 IST 2025","passed","Sun Aug 17 19:03:14 IST 2025","","test_products_page","",""
"","1027","test_user_login","selenium_tests.pytest_pages","Sun Aug 17 19:06:37 IST 2025","passed","Sun Aug 17 19:06:38 IST 2025","","test_user_login_invalid","",""
